EntityFramework.dll,6.1.40302.0,\\qevm-web02/EVM\ChromeReducingStyleData\EntityFramework.dll
EntityFramework.SqlServer.dll,6.1.40302.0,\\qevm-web02/EVM\ChromeReducingStyleData\EntityFramework.SqlServer.dll
Antlr3.Runtime.dll,3.3.1.7705,\\qevm-web02/EVM\EVM Admin\bin\Antlr3.Runtime.dll
EntityFramework.dll,5.0.20627.0,\\qevm-web02/EVM\EVM Admin\bin\EntityFramework.dll
Newtonsoft.Json.dll,4.5.6.14930,\\qevm-web02/EVM\EVM Admin\bin\Newtonsoft.Json.dll
WebActivator.dll,1.5.3.0,\\qevm-web02/EVM\EVM Admin\bin\WebActivator.dll
WebGrease.dll,1.0.0.0,\\qevm-web02/EVM\EVM Admin\bin\WebGrease.dll
Antlr3.Runtime.dll,3.3.1.7705,\\qevm-web02/EVM\EVM Admin\Scripts\bin\Antlr3.Runtime.dll
EntityFramework.dll,5.0.20627.0,\\qevm-web02/EVM\EVM Admin\Scripts\bin\EntityFramework.dll
Newtonsoft.Json.dll,4.5.6.14930,\\qevm-web02/EVM\EVM Admin\Scripts\bin\Newtonsoft.Json.dll
WebActivator.dll,1.5.2.0,\\qevm-web02/EVM\EVM Admin\Scripts\bin\WebActivator.dll
WebGrease.dll,1.0.0.0,\\qevm-web02/EVM\EVM Admin\Scripts\bin\WebGrease.dll
Antlr3.Runtime.dll,3.3.1.7705,\\qevm-web02/EVM\EVM Admin\Scripts\Scripts\bin\Antlr3.Runtime.dll
EntityFramework.dll,5.0.20627.0,\\qevm-web02/EVM\EVM Admin\Scripts\Scripts\bin\EntityFramework.dll
Newtonsoft.Json.dll,4.5.6.14930,\\qevm-web02/EVM\EVM Admin\Scripts\Scripts\bin\Newtonsoft.Json.dll
WebActivator.dll,1.5.2.0,\\qevm-web02/EVM\EVM Admin\Scripts\Scripts\bin\WebActivator.dll
WebGrease.dll,1.0.0.0,\\qevm-web02/EVM\EVM Admin\Scripts\Scripts\bin\WebGrease.dll
Antlr3.Runtime.dll,3.4.1.9004,\\qevm-web02/EVM\EVM Service Deployment\bin\Antlr3.Runtime.dll
EntityFramework.dll,6.1.40302.0,\\qevm-web02/EVM\EVM Service Deployment\bin\EntityFramework.dll
EntityFramework.SqlServer.dll,6.1.40302.0,\\qevm-web02/EVM\EVM Service Deployment\bin\EntityFramework.SqlServer.dll
EVMUtility.dll,1.0.0.0,\\qevm-web02/EVM\EVM Service Deployment\bin\EVMUtility.dll
Newtonsoft.Json.dll,11.0.2.21924,\\qevm-web02/EVM\EVM Service Deployment\bin\Newtonsoft.Json.dll
Swashbuckle.Core.dll,1.0.0.0,\\qevm-web02/EVM\EVM Service Deployment\bin\Swashbuckle.Core.dll
VindecoderCore.dll,1.0.0.0,\\qevm-web02/EVM\EVM Service Deployment\bin\VindecoderCore.dll
WebGrease.dll,1.6.5135.21930,\\qevm-web02/EVM\EVM Service Deployment\bin\WebGrease.dll
